,version,année,kilométrage,prix,telephone,pro/part,prix Argus,> argus ?
43 Renault Zoe Zen,zen,2016,100,13900,,professionnel,12598.0,True
44 Renault Zoe Zen,zen,2013,49299,9980,,professionnel,10476.5,False
45 Renault Zoe LIFE,life,2014,2759,10400,,professionnel,10320.5,True
46 Renault Zoe INTENS,intens,2016,6130,13290,,professionnel,12558.0,True
47 Renault Zoe Zen,zen,2016,100,13900,,professionnel,12598.0,True
48 Renault Zoe Life,life,2014,33853,9980,,professionnel,10320.5,False
49 Renault Zoe Edition One Gamme 2017,,2017,4900,27405,,professionnel,15037.0,True
50 Renault Zoe ZEN MB 8,zen,2016,100,10390,,professionnel,12598.0,False
51 Renault Zoe INTENS,intens,2015,10530,11200,,professionnel,12625.0,False
52 Renault Zoe ZEN MB 8,zen,2016,100,11690,,professionnel,12598.0,False
53 Renault Zoe ZEN MB 8,zen,2016,100,11390,,professionnel,12598.0,False
54 Renault Zoe INTENS,intens,2015,10530,11200,,professionnel,12625.0,False
55 Renault Zoe LIFE,life,2014,27582,9600,,professionnel,10320.5,False
56 Renault Zoe ZEN,zen,2014,30100,10100,,professionnel,10409.0,False
57 Renault Zoe Life Type 2,life,2016,2000,10890,,professionnel,13336.0,False
58 Renault Zoe INTENS CHARGE RAPIDE,intens,2014,15888,11500,,professionnel,10635.0,True
59 Renault Zoe Life charge rapide,life,2015,19438,9500,,professionnel,10973.5,False
60 Renault Zoe Life,life,2013,29085,9600,,professionnel,9429.0,True
61 Renault Zoe LIFE,life,2013,8800,9490,,professionnel,9429.0,True
62 Renault Zoe ZEN MB 8,zen,2016,100,11690,,professionnel,12598.0,False
63 Renault Zoe Life,life,2014,31872,9600,,professionnel,10320.5,False
64 Renault Zoe ZEN,zen,2013,70102,9000,,professionnel,10476.5,False
65 Renault Zoe LIFE,life,2014,31425,11990,,professionnel,10320.5,True
66 Renault Zoe LIFE,life,2014,32203,9600,,professionnel,10320.5,False
67 Renault Zoe INT MA 7,,2014,14497,10990,,professionnel,10409.0,True
68 Renault Zoe ZEN CHARGE RAPIDE,zen,2014,20359,10400,,professionnel,10409.0,False
69 Renault Zoe ZEN,zen,2016,5975,12450,,professionnel,12598.0,False
70 Renault Zoe ZEN,zen,2016,5975,12450,,professionnel,12598.0,False
71 Renault Zoe LIFE,life,2014,12658,9990,,professionnel,10320.5,False
72 Renault Zoe LIFE,life,2014,12658,9990,,professionnel,10320.5,False
73 Renault Zoe Intens,intens,2016,10000,14000,,professionnel,12558.0,True
74 Renault Zoe INTENS,intens,2015,16134,12000,,professionnel,12625.0,False
75 Renault Zoe Zen,zen,2014,36385,10100,,professionnel,10409.0,False
76 Renault Zoe ZEN MB 8,zen,2016,100,11390,,professionnel,12598.0,False
77 Renault Zoe Life charge rapide,life,2014,21264,8980,,professionnel,10320.5,False
78 Renault Zoe LIFE,life,2014,21430,10300,,professionnel,10320.5,False
79 Renault Zoe ZEN CHARGE RAPIDE,zen,2015,19157,11700,,professionnel,12240.5,False
80 Renault Zoe Life charge normale Type 2,life,2016,9087,10980,,professionnel,13336.0,False
81 Renault Zoe Life charge rapide,life,2014,10207,10490,,professionnel,10320.5,True
82 Renault Zoe Intens charge rapide,intens,2015,9474,11980,,professionnel,12625.0,False
83 Renault Zoe INTENS,intens,2014,30519,9990,,professionnel,10635.0,False
84 Renault Zoe LIF MA 7,,2014,28664,11600,,professionnel,10409.0,True
85 Renault Zoe Intens charge rapide,intens,2014,34121,10790,,professionnel,10635.0,True
86 Renault Zoe Zen Gamme 2017,zen,2017,1,16480,,professionnel,15037.0,True
87 Renault Zoe INTENS,intens,2014,23276,10590,,professionnel,10635.0,False
88 Renault Zoe Zen 5P,zen,2014,29306,10900,,professionnel,10409.0,True
89 Renault Zoe Life,life,2014,7039,9500,,professionnel,10320.5,False
90 Renault Zoe Zen,zen,2016,100,11690,,professionnel,12598.0,False
91 Renault Zoe Zen charge rapide,zen,2014,20205,10490,,professionnel,10409.0,True
92 Renault Zoe Life,life,2016,1410,13990,,professionnel,13336.0,True
93 Renault Zoe Intens type 2,intens,2016,15000,14100,,professionnel,12558.0,True
94 Renault Zoe ZEN CHARGE RAPIDE,zen,2013,23660,9200,,professionnel,10476.5,False
95 Renault Zoe Life,life,2014,25257,8980,,professionnel,10320.5,False
96 Renault Zoe INTENS,intens,2013,32671,9800,,professionnel,9103.0,True
97 Renault Zoe Zen Gamme 2017,zen,2017,6500,18500,,professionnel,15037.0,True
98 Renault Zoe Zen,zen,2013,31250,8480,,professionnel,10476.5,False
99 Renault Zoe Intens,intens,2014,16163,8980,,professionnel,10635.0,False
100 Renault Zoe Life,life,2013,13484,8500,,professionnel,9429.0,False
101 Renault Zoe INTENS CHARGE RAPIDE,intens,2013,31426,9890,,professionnel,9103.0,True
102 Renault Zoe Life,life,2013,31451,7990,,professionnel,9429.0,False
103 Renault Zoe Zen Gamme 2017,zen,2017,500,16390,,professionnel,15037.0,True
104 Renault zoe zen,zen,2013,49000,8000,,particulier,10476.5,False
105 Renault Zoé Life pack Easy 2014,life,2014,45300,9000,,particulier,10320.5,False
108 Renault Zoé Life - 02/2017 - État Neuve - Type2,,2017,9000,15000,,particulier,15037.0,False
109 Zoe intense toutes options,intens,2013,29500,8500,,particulier,9103.0,False
110 Renault zoe life,life,2015,30000,14000,,particulier,10973.5,True
111 Renault Zoe Life Charge Rapide Life Charge Rapide,life,2016,20300,11995,,professionnel,13336.0,False
112 Renault Zoe Zen charge rapide,zen,2015,6600,10990,,professionnel,12240.5,False
113 Renault Zoe ZEN,zen,2014,38087,8990,,professionnel,10409.0,False
114 Renault zoe,life,2014,55000,9490,,professionnel,10320.5,False
115 Renault Zoe LIFE CHARGE RAPIDE,life,2016,8169,10950,,professionnel,13336.0,False
116 ZOE Life 8990€,life,2014,38049,8990,,professionnel,10320.5,False
117 Renault Zoe LIFE CHARGE RAPIDE,life,2015,48957,9290,,professionnel,10973.5,False
118 Renault Zoe Life type 2,life,2016,3000,13300,,professionnel,13336.0,False
119 Renault Zoe LIFE,life,2013,470,9200,,professionnel,9429.0,False
120 Renault Zoe LIFE,life,2016,4619,11990,,professionnel,13336.0,False
121 Renault Zoe ZEN,zen,2014,15143,8990,,professionnel,10409.0,False
122 Renault Zoe LIFE,life,2014,24088,8690,,professionnel,10320.5,False
123 Renault Zoe LIFE,life,2014,34301,8490,,professionnel,10320.5,False
124 Renault Zoe LIFE,life,2014,10690,8990,,professionnel,10320.5,False
125 Renault Zoe INTENS,intens,2014,37441,9490,,professionnel,10635.0,False
126 Renault Zoe LIFE,life,2016,7701,10500,,professionnel,13336.0,False
127 Renault Zoe INTENS,intens,2015,16370,10450,,professionnel,12625.0,False
128 Renault Zoe ZEN,zen,2014,9094,8990,,professionnel,10409.0,False
129 Renault Zoe ZEN,zen,2015,6430,10990,,professionnel,12240.5,False
130 Renault Zoe LIFE,life,2015,20942,9950,,professionnel,10973.5,False
131 Renault Zoe Intens,intens,2014,42836,10590,,professionnel,10635.0,False
132 Renault Zoe LIFE,life,2015,6791,9490,,professionnel,10973.5,False
133 Renault Zoe LIFE,life,2015,20142,9990,,professionnel,10973.5,False
134 Renault Zoe ZEN CHARGE RAPIDE,zen,2014,31807,9500,,professionnel,10409.0,False
135 Renault Zoe Life,life,2016,5145,12990,,professionnel,13336.0,False
136 Renault Zoe LIFE,life,2016,10,12990,,professionnel,13336.0,False
137 Renault Zoe Life type 2,life,2016,3000,13500,,professionnel,13336.0,True
138 Renault Zoe LIFE,life,2015,17611,9500,,professionnel,10973.5,False
139 Renault Zoe LIFE CHARGE RAPIDE,life,2015,17500,9450,,professionnel,10973.5,False
140 Renault Zoe Life,life,2014,26440,10290,,professionnel,10320.5,False
141 Renault Zoe ZEN,zen,2015,17527,9990,,professionnel,12240.5,False
142 Renault Zoe ZEN CHARGE RAPIDE,zen,2015,6119,10990,,professionnel,12240.5,False
143 Renault Zoe LIFE CHARGE RAPIDE,life,2015,10295,9990,,professionnel,10973.5,False
144 Renault Zoe Zen,zen,2014,35858,10100,,professionnel,10409.0,False
145 Renault Zoe LIFE,life,2014,42351,7950,,professionnel,10320.5,False
146 Renault Zoe Life,life,2014,9890,10400,,professionnel,10320.5,True
147 Zoé noire intense 2017,,2017,11600,16900,,particulier,15037.0,True
148 Renault Zoe Intens 150 km autonomie,intens,2016,8800,10900,,particulier,12558.0,False
149 Renault Zoé intens,intens,2013,76000,7500,,particulier,9103.0,False
150 Renault Zoé Life + pack city / Faible kilométrage,life,2015,5900,10000,,particulier,10973.5,False
151 Renault Zoe Intens FAIBLE KM 1 ERE MAIN,intens,2014,14000,9690,,professionnel,10635.0,False
152 Renault Zoe ZEN,zen,2015,17558,11700,,professionnel,12240.5,False
153 Renault Zoe Life,life,2016,9446,9490,,professionnel,13336.0,False
154 Renault Zoe INTENS,intens,2016,13731,12790,,professionnel,12558.0,True
155 Renault Zoe Intens,intens,2013,13976,8990,,professionnel,9103.0,False
156 Zoe life,life,2016,4500,12900,,professionnel,13336.0,False
157 Renault zoe intens garantie 3ans,intens,2015,30000,10000,,professionnel,12625.0,False
158 Renault zoe zen charge rapide type2,zen,2015,11480,11700,,professionnel,12240.5,False
159 Renault Zoe INTENS CHARGE RAPIDE,intens,2015,9449,10290,,professionnel,12625.0,False
160 Renault Zoe Life,life,2015,18768,9990,,professionnel,10973.5,False
161 Renault zoe life charge rapide,life,2014,37413,9800,,professionnel,10320.5,False
162 Renault Zoe ZEN Charge Rapide,zen,2014,23286,9290,,professionnel,10409.0,False
163 Zoe,life,2013,60990,8900,,professionnel,9429.0,False
164 Zoe intens,intens,2014,28600,9900,,professionnel,10635.0,False
165 Renault Zoe INTENS,intens,2014,9222,11490,,professionnel,10635.0,True
166 Renault Zoe INTENS CHARGE RAPIDE,intens,2015,16468,10490,,professionnel,12625.0,False
167 Renault Zoe Life charge rapide Type 2,life,2016,7911,10990,,professionnel,13336.0,False
168 Renault Zoe Life,life,2015,820,10700,,professionnel,10973.5,False
169 Renault Zoe INTENS,intens,2014,36556,8990,,professionnel,10635.0,False
170 Renault Zoe INTENS CHARGE RAPIDE,intens,2015,16133,11590,,professionnel,12625.0,False
171 Renault Zoe ZEN CHARGE RAPIDE,zen,2015,14538,10590,,professionnel,12240.5,False
172 Renault Zoe INTENS,intens,2014,31456,9590,,professionnel,10635.0,False
173 Renault Zoe ZEN,zen,2013,46946,6990,,professionnel,10476.5,False
174 Renault Zoe ZEN,zen,2014,27158,9490,,professionnel,10409.0,False
175 Renault Zoe LIFE,life,2014,24890,8880,,professionnel,10320.5,False
176 Renault Zoe Zen,zen,2014,51657,8900,,professionnel,10409.0,False
177 Renault Zoe Life charge rapide Type 2,life,2016,7911,10990,,professionnel,13336.0,False
178 Renault Zoe Life charge rapide Type 2,life,2016,8184,11790,,professionnel,13336.0,False
179 Renault Zoe INTENS CHARGE RAPIDE,intens,2015,11359,9790,,professionnel,12625.0,False
180 Renault Zoe ZEN,zen,2013,41535,7500,,professionnel,10476.5,False
181 Renault zoe life,life,2016,5500,11999,,professionnel,13336.0,False
182 Renault Zoe Zen,zen,2013,57314,7900,,professionnel,10476.5,False
183 Renault Zoe Intens,intens,2013,32877,8800,,professionnel,9103.0,False
184 Renault Zoe INTENS,intens,2013,36812,9990,,professionnel,9103.0,True
185 Renault Zoe INTENS CHARGE RAPIDE,intens,2015,8109,11990,,professionnel,12625.0,False
186 Renault Zoe ZEN CHARGE RAPIDE,zen,2015,7868,11700,,professionnel,12240.5,False
